src_gpu,dst_gpu,num_bytes,peer_access,warmup_iterations,measured_iterations,bandwidth_gbps_n,bandwidth_gbps_mean,bandwidth_gbps_std,bandwidth_gbps_ci95_halfwidth,bandwidth_gbps_min,bandwidth_gbps_max,bandwidth_gbps_p50,bandwidth_gbps_p95,latency_us_n,latency_us_mean,latency_us_std,latency_us_ci95_halfwidth,latency_us_min,latency_us_max,latency_us_p50,latency_us_p95
1,4,16777216,0,5,50,5,37.61768256998782,0.06252070627410743,0.07761726493260802,37.564489451724455,37.71577571894086,37.594740627955154,37.70091278316808,5,415.3640899658203,0.6895180800698704,0.8560125226667622,414.28287506103516,415.9513473510742,415.6166458129883,415.9348373413086
1,4,67108864,0,5,50,5,39.62832534348642,0.04153488640556866,0.05156410530541191,39.575991943348356,39.66807428931585,39.646653076201815,39.66622763482197,5,1577.1560974121094,1.653601346941295,2.052888098796391,1575.5743408203125,1579.2402648925781,1576.4256286621094,1579.1120300292969
1,4,268435456,0,5,10,5,40.054668376328785,0.044290593065865844,0.05498521851214836,39.9994067470801,40.09953417087776,40.05005523566044,40.09933641788837,5,6241.475830078125,6.901936915581311,8.568512706432477,6234.486389160156,6250.092697143555,6242.18864440918,6249.268417358398
1,4,1073741824,0,5,10,5,40.68012208252238,0.02299568175074365,0.028548332690422586,40.64277299607241,40.700458265200105,40.68299962629447,40.69979708303512,5,24582.036743164062,13.902011550906598,17.25885995132737,24569.747924804688,24604.620361328125,24580.291748046875,24600.452270507812
1,5,1048576,0,5,50,5,17.73466457201259,0.2726957445654526,0.3385422064673199,17.301783486089718,17.995552075946854,17.79014903506249,17.98037813548347,5,55.07571315765381,0.8563168812532598,1.0630873865547643,54.26688194274902,56.442880630493164,54.89344120025635,56.21004867553711
1,5,4194304,0,5,50,5,30.903523075220686,0.17266278410937444,0.21435479310586766,30.667079354511884,31.07680523158593,30.985301574508718,31.06328988543721,5,126.40460968017578,0.7078284654533923,0.8787442241785789,125.69664001464845,127.37600326538087,126.06783866882323,127.283203125
1,5,16777216,0,5,50,5,37.45623034516799,0.11790479177694667,0.1463746653797043,37.32922857636292,37.61292716636824,37.40437729839214,37.59928816796287,5,417.15686798095703,1.3118356450519422,1.6285979618276312,415.41568756103516,418.5728073120117,417.7318572998047,418.43699645996094
1,5,67108864,0,5,50,5,39.458645155784254,0.02742946471056149,0.03405271879151798,39.43325099139102,39.50275140135432,39.45761196675387,39.49445109923815,5,1583.9374084472656,1.1004998100195482,1.366231931835155,1582.1682739257812,1584.9568176269531,1583.978271484375,1584.9157409667969
1,5,268435456,0,5,10,5,40.02750586697576,0.02282763888528982,0.028339713364358348,39.99320183916491,40.052539622898884,40.026191454992,40.05070417555856,5,6245.706787109375,3.562810338407886,4.423104126950103,6241.801452636719,6251.062393188477,6245.910263061523,6250.155487060547
1,5,1073741824,0,5,10,5,40.614184800102564,0.07587928391094231,0.09420147073180633,40.48508965579272,40.68231270406026,40.63333339533488,40.6759758417718,5,24622.008361816406,46.08897276344012,57.21784385748701,24580.706787109375,24700.45166015625,24610.336303710938,24684.097595214844
1,6,1048576,0,5,50,5,17.65981771516337,0.18792015985026686,0.2332962901814955,17.473563343330863,17.92936809482955,17.65246367367766,17.892751640428294,5,55.30355167388916,0.5863138332786475,0.7278880685020133,54.467201232910156,55.887999534606934,55.321598052978516,55.87276744842529
1,6,4194304,0,5,50,5,31.460890351397246,0.1320637520936606,0.16395251821544246,31.316943215561952,31.638202325994907,31.411551214517353,31.62168157299901,5,124.1638412475586,0.5205372196787856,0.6462287087729848,123.46624374389648,124.7327995300293,124.35711860656738,124.68095970153809
1,6,16777216,0,5,50,5,37.29762220031995,0.03872624265883108,0.04807727256177532,37.23353050317898,37.33625168644367,37.310632145587256,37.33151524344121,5,418.92787170410156,0.4353639497907665,0.5404890802874893,418.4940719604492,419.6486282348633,418.78143310546875,419.510009765625
1,6,67108864,0,5,50,5,39.29167782095653,0.0548204263777659,0.06805763740458219,39.236031551286935,39.37074098406667,39.29291177359915,39.35934552047653,5,1590.6701049804688,2.2182510103029793,2.7538808598682905,1587.4732971191406,1592.923583984375,1590.61767578125,1592.8512573242188
1,6,268435456,0,5,10,5,39.845399986014236,0.05005756713963518,0.0621447146410111,39.806301429354534,39.9325918156832,39.83087679407146,39.913329605314715,5,6274.257888793945,7.87079958374891,9.771321741710793,6260.550308227539,6280.412673950195,6276.537704467773,6279.950637817383
1,6,1073741824,0,5,10,5,40.33567353594842,0.0284599874264617,0.03533207661432337,40.29646827919766,40.36435084292672,40.344591170890084,40.362775469590275,5,24791.959838867188,17.497237429965406,21.72220683554265,24774.33624267578,24816.070556640625,24786.47003173828,24813.606567382812
1,7,1048576,0,5,50,5,17.798124065978797,0.10573471082749751,0.13126593655051824,17.62982346331512,17.901603417248264,17.84444972265299,17.890965805901327,5,54.87040042877197,0.3274070987039962,0.4064644345108595,54.55167770385742,55.3926420211792,54.72640037536621,55.30752182006836
1,7,4194304,0,5,50,5,30.88093430870974,0.14886483431103442,0.18481047276098314,30.68064593545859,31.081552271605414,30.899026642942207,31.052062816134196,5,126.49625778198242,0.6098450791443487,0.7571012852648712,125.67744255065918,127.31967926025389,126.41983985900879,127.21331214904785
1,7,16777216,0,5,50,5,37.55111621338912,0.09280604696152311,0.11521545362554271,37.49180210076746,37.71373726562882,37.52672496502025,37.67726940364173,5,416.1015090942383,1.0253185180872642,1.2728969936740273,414.3052673339844,416.75777435302734,416.36993408203125,416.7575149536133
1,7,67108864,0,5,50,5,39.49415141829635,0.04100217826518449,0.05090276682528219,39.453499677610196,39.55398249504513,39.473244204366935,39.54677990258904,5,1582.51416015625,1.6420719083078195,2.038574704942276,1580.1190185546875,1584.1433715820312,1583.3509826660156,1583.994384765625
1,7,268435456,0,5,10,5,39.97988568800216,0.05134464569547577,0.06374257754453894,39.91161905207347,40.0340450653012,39.97316986395301,40.032629823105005,5,6253.152694702148,8.032092177359683,9.971560841938928,6244.684982299805,6263.840103149414,6254.195022583008,6262.522964477539
1,7,1073741824,0,5,10,5,40.70979384402623,0.08442881280795869,0.10481541112044092,40.56408690603084,40.77957078904388,40.74366387720699,40.77258496123885,5,24564.198303222656,51.06180872912166,63.39144536676101,24522.08251953125,24652.34832763672,24543.69354248047,24633.831176757812
2,0,1048576,0,5,50,5,17.540278878561146,0.18511191522605414,0.22980995293448075,17.355112983226128,17.761571885235615,17.54327355085965,17.745969328084897,5,55.68038463592529,0.5873200013534625,0.7291371908917581,54.98176097869873,56.26944065093994,55.66592216491699,56.267648696899414
2,0,4194304,0,5,50,5,31.02393925699345,0.19049825554961466,0.23649690560705683,30.82879481690887,31.2914156707043,31.026095703688668,31.256066250241187,5,125.91462326049805,0.7718229883863645,0.9581911808227883,124.83455657958984,126.7078399658203,125.90208053588867,126.68326377868652
2,0,16777216,0,5,50,5,38.08361155404524,0.1090893767309216,0.13543063665874924,37.97047091356249,38.23437466308058,38.04146631277701,38.21901670313707,5,410.2841567993164,1.1739740032375274,1.4574475667914628,408.6636734008789,411.5039825439453,410.7360076904297,411.4093933105469
2,0,67108864,0,5,50,5,39.426602781834774,0.16610073406432066,0.206208238033138,39.22181843879352,39.599821375415104,39.5093357203557,39.584662859415374,5,1585.2466125488281,6.686497939964998,8.301052771256629,1578.2899475097656,1593.5008239746094,1581.9046020507812,1593.0448913574219
2,0,268435456,0,5,10,5,39.87312111544105,0.10084082298752842,0.12519034637148244,39.768814637370504,39.99991699235976,39.824523194673475,39.99201175859759,5,6269.919967651367,15.844961204687012,19.670963828833454,6250.012969970703,6286.332702636719,6277.5390625,6284.970169067383
2,0,1073741824,0,5,10,5,40.38169883696117,0.051609602956108516,0.06407151269450649,40.291632330001846,40.42051247259237,40.39620531105066,40.4181572662411,5,24763.7255859375,31.696928656824447,39.350625668245335,24739.913940429688,24819.049072265625,24754.800415039062,24806.78741455078
2,1,1048576,0,5,50,5,17.141459295390472,0.10633855023623306,0.13201558200652275,17.024008756724506,17.25599803915241,17.109910539729956,17.25482771361392,5,56.972543716430664,0.35310804460075385,0.43837125779499464,56.59264087677002,57.3638391494751,57.075839042663574,57.33478355407715
2,1,4194304,0,5,50,5,31.108436295534762,0.13813533888098012,0.17149018034879343,30.935046522654563,31.26384633086782,31.147696811847684,31.250806209264105,5,125.57081413269043,0.558077950800882,0.692834210324625,124.94463920593262,126.27264022827147,125.41055679321289,126.22220802307129
2,1,16777216,0,5,50,5,38.06273556601485,0.05835984843919984,0.07245170580563622,37.972949094554686,38.133506374049105,38.07112850502319,38.12333512642338,5,410.50726318359375,0.629853374856958,0.7819408829233948,409.74464416503906,411.4771270751953,410.4159927368164,411.3030471801758
